номинализация и ее зависимые,лемма номинализации,предложение,номинализация и ее аргументы,модель управления в общем виде,присоединяемые адъюнкты,порядок аргументов,вершина,1-й аргумент,2-ой аргумент,1-ый адъюнкт,2ой адъюнкт,3ий адъюнкт,4ый адъюнкт,
,,,,,,,,,,,,,,
привлечения - учителей,привлечение,"И уточняют : "" В основном вся запрашиваемая информация рассчитана на ответ администрации школы ... Ни по одному отчету ( кроме отчета о занятости выпускников ) при правильной организации управления школой привлечения учителей для ответа не требовалось """,привлечения - учителей,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: привлечение,arg1: gen: учитель,--,,,,,
,,,,,,,,,,,,,,
соприкосновения - с электропроводом,соприкосновение,"Надо заметить , что на теле погибшего не нашли и места соприкосновения с электропроводом , которое на языке судмедэкспертов называется электрометкой",соприкосновения - с электропроводом,['HEAD'],['с+ins'],HEAD,HEAD: соприкосновение,--,--,adj1: с+ins: электропровод,,,,
,,,,,,,,,,,,,,
развития - оппозиции,развитие,"Но если нынешний вектор развития оппозиции бесперспективен , то где она может свернуть на более перспективные политические магистрали",развития - оппозиции,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: развитие,arg1: gen: оппозиция,--,,,,,
,,,,,,,,,,,,,,
ослаблении - курса - по отношению,ослабление,""" При реализации прогноза об ослаблении курса доллара по отношению к корзине валют и сохранении инфляции в России на уровне 10 % можно ожидать , что вклады в рублях и вклады в евро будут более доходными по сравнению с долларовыми вкладами",ослаблении - курса - по отношению,"['HEAD', 'gen']",['по+dat'],HEAD-arg1,HEAD: ослабление,arg1: gen: курс,--,adj1: по+dat: отношение,,,,
,,,,,,,,,,,,,,
отношению - к корзине,отношение,""" При реализации прогноза об ослаблении курса доллара по отношению к корзине валют и сохранении инфляции в России на уровне 10 % можно ожидать , что вклады в рублях и вклады в евро будут более доходными по сравнению с долларовыми вкладами",отношению - к корзине,['HEAD'],['к+dat'],HEAD,HEAD: отношение,--,--,adj1: к+dat: корзина,,,,
,,,,,,,,,,,,,,
сохранении - инфляции - в России - на уровне,сохранение,""" При реализации прогноза об ослаблении курса доллара по отношению к корзине валют и сохранении инфляции в России на уровне 10 % можно ожидать , что вклады в рублях и вклады в евро будут более доходными по сравнению с долларовыми вкладами",сохранении - инфляции - в России - на уровне,"['HEAD', 'gen']","['в+loc', 'на+loc']",HEAD-arg1,HEAD: сохранение,arg1: gen: инфляция,--,adj1: в+loc: россия,adj2: на+loc: уровень,,,
,,,,,,,,,,,,,,
сравнению - с вкладами,сравнение,""" При реализации прогноза об ослаблении курса доллара по отношению к корзине валют и сохранении инфляции в России на уровне 10 % можно ожидать , что вклады в рублях и вклады в евро будут более доходными по сравнению с долларовыми вкладами",сравнению - с вкладами,['HEAD'],['с+ins'],HEAD,HEAD: сравнение,--,--,adj1: с+ins: вклад,,,,
,,,,,,,,,,,,,,
исследования - обстоятельств,исследование,""" Это время , однако , никак не было использовано для исследования обстоятельств дела , анализа последствий отказа Максимова от исполнения неотъемлемых частей соглашения , а также приобщения к делу новых доказательств "" , — отмечают в компании",исследования - обстоятельств,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: исследование,arg1: gen: обстоятельство,--,,,,,
,,,,,,,,,,,,,,
исполнения - частей,исполнение,""" Это время , однако , никак не было использовано для исследования обстоятельств дела , анализа последствий отказа Максимова от исполнения неотъемлемых частей соглашения , а также приобщения к делу новых доказательств "" , — отмечают в компании",исполнения - частей,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: исполнение,arg1: gen: часть,--,,,,,
,,,,,,,,,,,,,,
также - приобщения - к делу,приобщение,""" Это время , однако , никак не было использовано для исследования обстоятельств дела , анализа последствий отказа Максимова от исполнения неотъемлемых частей соглашения , а также приобщения к делу новых доказательств "" , — отмечают в компании",приобщения - к делу,['HEAD'],['к+dat'],HEAD,HEAD: приобщение,--,--,adj1: к+dat: дело,,,,
,,,,,,,,,,,,,,
сознательного - ограничения - конкуренции,ограничение,"Яркой иллюстрацией стало лето 2010 года , когда возбуждались многочисленные дела против продавцов , повышающих цены на продукты , "" хотя с самого начала было ясно , что рост цен был результатом панических ожиданий , но никак не сознательного ограничения конкуренции """,ограничения - конкуренции,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: ограничение,arg1: gen: конкуренция,--,,,,,
,,,,,,,,,,,,,,
требованиями - извинений,требование,"Между тем он сообщил , что две недели назад адвокаты Полонского отправили письмо в редакцию Evening Standard с требованиями извинений и угрозами суда",требованиями - извинений,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: требование,arg1: gen: извинение,--,,,,,
,,,,,,,,,,,,,,
извинений - и,извинение,"Между тем он сообщил , что две недели назад адвокаты Полонского отправили письмо в редакцию Evening Standard с требованиями извинений и угрозами суда",извинений - и,['HEAD'],['CONJ'],HEAD,HEAD: извинение,--,--,adj1: CONJ: и,,,,
,,,,,,,,,,,,,,
Свое - семидесятилетие - Борис,семидесятилетие,"Свое семидесятилетие Борис Бадмаевич Танганов встречает в расцвете творческих сил , полный новых научных замыслов",Свое - семидесятилетие - Борис,"['poss', 'HEAD']",['nom'],arg1-HEAD,HEAD: семидесятилетие,arg1: poss: свой,--,adj1: nom: борис,,,,
,,,,,,,,,,,,,,
проведения - поединков,проведение,После проведения поединков пройдет торжественная церемония закрытия,проведения - поединков,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: проведение,arg1: gen: поединок,--,,,,,
,,,,,,,,,,,,,,
состоянии - волнения,состояние,"Впоследствии он объяснил это неконтролируемой ревностью и внезапно возникшими неприязненными отношениями : "" Не хотел никого убивать , был трезв , но находился в состоянии сильного душевного волнения """,состоянии - волнения,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: состояние,arg1: gen: волнение,--,,,,,
,,,,,,,,,,,,,,
требование - до 25 - обеспечить,требование,"По его словам , ЗАО "" Крокус "" написала "" Регионтехстрою "" претензионное письмо , в котором выдвинуло требование до 25 мая обеспечить выход на работу всех рабочих",требование - до 25 - обеспечить,['HEAD'],"['до+NUMB,intg', 'INFN,perf,tran']",HEAD,HEAD: требование,--,--,"adj1: до+NUMB,intg: 25","adj2: INFN,perf,tran: обеспечить",,,
,,,,,,,,,,,,,,
решением - суда,решение,"Сайт "" Уфа Губернская "" , со страниц которого Швецов и его сподвижники транслировали свои идеи , решением суда был признан экстремистским - провайдеры закрыли к нему доступ и запрет держится до сих пор",решением - суда,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: решение,arg1: gen: суд,--,,,,,
,,,,,,,,,,,,,,
приобретением - яхты,приобретение,"Предлагая новую форму ready-made , Янковский вовлекает зрителя в игру , где потенциальному покупателю нужно сделать выбор между приобретением яхты как изысканного вида транспорта или уже как статусного произведения искусства",приобретением - яхты,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: приобретение,arg1: gen: яхта,--,,,,,
,,,,,,,,,,,,,,
как - статусного - произведения - искусства,произведение,"Предлагая новую форму ready-made , Янковский вовлекает зрителя в игру , где потенциальному покупателю нужно сделать выбор между приобретением яхты как изысканного вида транспорта или уже как статусного произведения искусства",произведения - искусства,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: произведение,arg1: gen: искусство,--,,,,,
,,,,,,,,,,,,,,
сведений - о работодателях,сведение,"Работодатели обязаны осуществлять проверку сведений о других работодателях , выдавших работнику справки о сумме заработной платы , иных выплатах , вознаграждений для исчисления пособий путем направления запроса в территориальный орган страховщика ( в Приморье - в региональное отделение Фонда социального страхования )",сведений - о работодателях,['HEAD'],['о+loc'],HEAD,HEAD: сведение,--,--,adj1: о+loc: работодатель,,,,
,,,,,,,,,,,,,,
вознаграждений - для исчисления,вознаграждение,"Работодатели обязаны осуществлять проверку сведений о других работодателях , выдавших работнику справки о сумме заработной платы , иных выплатах , вознаграждений для исчисления пособий путем направления запроса в территориальный орган страховщика ( в Приморье - в региональное отделение Фонда социального страхования )",вознаграждений - для исчисления,['HEAD'],['для+gen'],HEAD,HEAD: вознаграждение,--,--,adj1: для+gen: исчисление,,,,
,,,,,,,,,,,,,,
исчисления - пособий,исчисление,"Работодатели обязаны осуществлять проверку сведений о других работодателях , выдавших работнику справки о сумме заработной платы , иных выплатах , вознаграждений для исчисления пособий путем направления запроса в территориальный орган страховщика ( в Приморье - в региональное отделение Фонда социального страхования )",исчисления - пособий,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: исчисление,arg1: gen: пособие,--,,,,,
,,,,,,,,,,,,,,
направления - запроса - в отделение,направление,"Работодатели обязаны осуществлять проверку сведений о других работодателях , выдавших работнику справки о сумме заработной платы , иных выплатах , вознаграждений для исчисления пособий путем направления запроса в территориальный орган страховщика ( в Приморье - в региональное отделение Фонда социального страхования )",направления - запроса - в отделение,"['HEAD', 'gen']",['в+acc'],HEAD-arg1,HEAD: направление,arg1: gen: запрос,--,adj1: в+acc: отделение,,,,
,,,,,,,,,,,,,,
региональное - отделение - Фонда,отделение,"Работодатели обязаны осуществлять проверку сведений о других работодателях , выдавших работнику справки о сумме заработной платы , иных выплатах , вознаграждений для исчисления пособий путем направления запроса в территориальный орган страховщика ( в Приморье - в региональное отделение Фонда социального страхования )",отделение - Фонда,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: отделение,arg1: gen: фонд,--,,,,,
,,,,,,,,,,,,,,
сообщением - что,сообщение,"Если собираются на очередную шумную вечеринку , то растиражированные глянцевыми журналами репортажи об этом непременно будут сопровождаться сообщением , что светские львицы пожертвовали часть денег сиротам из какого-то детского дома",сообщением - что,['HEAD'],['CONJ'],HEAD,HEAD: сообщение,--,--,adj1: CONJ: что,,,,
,,,,,,,,,,,,,,
Состояние - охраны,состояние,"Вывод главного технического инспектора ФПСО : "" Состояние охраны труда на данном предприятии создает угрозу жизни и здоровью наемных работников """,Состояние - охраны,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: состояние,arg1: gen: охрана,--,,,,,
,,,,,,,,,,,,,,
мнению - г-на,мнение,"По мнению г-на Мамиконяна , если сейчас это станет препятствием для работы , производители просто откажутся от использования коньяка",мнению - г-на,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: мнение,arg1: gen: г-на,--,,,,,
,,,,,,,,,,,,,,
использования - коньяка,использование,"По мнению г-на Мамиконяна , если сейчас это станет препятствием для работы , производители просто откажутся от использования коньяка",использования - коньяка,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: использование,arg1: gen: коньяк,--,,,,,
,,,,,,,,,,,,,,
расходования - средств - с учетом,расходование,К тому же в настоящее время в ГФУ готовится проект расходования средств фонда с учетом финансовой помощи из Москвы,расходования - средств - с учетом,"['HEAD', 'gen']",['с+ins'],HEAD-arg1,HEAD: расходование,arg1: gen: средство,--,adj1: с+ins: учет,,,,
,,,,,,,,,,,,,,
снижении - ставки,снижение,"Публичных акций протеста они пока проводить не собираются , однако попробуют обратиться в Байкальский банк Сбербанка РФ с просьбой о снижении ставки по кредиту",снижении - ставки,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: снижение,arg1: gen: ставка,--,,,,,
,,,,,,,,,,,,,,
указанию - начальника,указание,В тот же день по указанию начальника ГУВД по Иркутской области генерал-лейтенанта Алексея Антонова сформирована комиссия по расследованию причин и последствий пожара,указанию - начальника,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: указание,arg1: gen: начальник,--,,,,,
,,,,,,,,,,,,,,
расследованию - причин,расследование,В тот же день по указанию начальника ГУВД по Иркутской области генерал-лейтенанта Алексея Антонова сформирована комиссия по расследованию причин и последствий пожара,расследованию - причин,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: расследование,arg1: gen: причина,--,,,,,
,,,,,,,,,,,,,,
решение - об избрании,решение,"- Следователи не успевают ни отвезти бумаги в суд , чтобы тот мог принять решение об избрании меры пресечения , ни провести даже хотя бы один обыск у подозреваемых , - пояснил "" КП "" источник",решение - об избрании,['HEAD'],['об+loc'],HEAD,HEAD: решение,--,--,adj1: об+loc: избрание,,,,
,,,,,,,,,,,,,,
избрании - меры,избрание,"- Следователи не успевают ни отвезти бумаги в суд , чтобы тот мог принять решение об избрании меры пресечения , ни провести даже хотя бы один обыск у подозреваемых , - пояснил "" КП "" источник",избрании - меры,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: избрание,arg1: gen: мера,--,,,,,
,,,,,,,,,,,,,,
мнению - специалистов,мнение,"По мнению специалистов , открытием сезона может стать 20-летний атакующий полузащитник Евгений СКОБЛИКОВ , подписавший контракт с "" Лучом-Энергия "" сразу на 2 , 5 года",мнению - специалистов,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: мнение,arg1: gen: специалист,--,,,,,
,,,,,,,,,,,,,,
открытием - сезона,открытие,"По мнению специалистов , открытием сезона может стать 20-летний атакующий полузащитник Евгений СКОБЛИКОВ , подписавший контракт с "" Лучом-Энергия "" сразу на 2 , 5 года",открытием - сезона,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: открытие,arg1: gen: сезон,--,,,,,
,,,,,,,,,,,,,,
свое - мнение,мнение,У главы Лахденпохского района свое мнение на этот счет,свое - мнение,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: мнение,arg1: poss: свой,--,,,,,
,,,,,,,,,,,,,,
улучшение - условий,улучшение,"Получить сертификат на землю могут все многодетные семьи , стоящие в очереди на улучшение жилищных условий , где третий и последующий ребенок появился на свет до 1 января 2011 года",улучшение - условий,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: улучшение,arg1: gen: условие,--,,,,,
,,,,,,,,,,,,,,
нежелание - собственника - понимать,нежелание,"- Я думаю , основная проблема , дающая богатые возможности для всяческих недоразумений - нежелание собственника понимать , что это именно его имущество",нежелание - собственника - понимать,"['HEAD', 'gen']","['INFN,impf,tran']",HEAD-arg1,HEAD: нежелание,arg1: gen: собственник,--,"adj1: INFN,impf,tran: понимать",,,,
,,,,,,,,,,,,,,
решении - задачи,решение,"В решении этой непростой задачи активную роль сыграли бойцы службы госнаркоконтроля , организовавшие контрольную закупку гашишного масла в количестве 352 , 726 грамма ( 20 так называемых "" коробков "" ) , что расценивается как особо крупный размер",решении - задачи,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: решение,arg1: gen: задача,--,,,,,
,,,,,,,,,,,,,,
лечебно-профилактическом - учреждении - ведомства,учреждение,"Насколько важны вершащиеся перемены , можно судить хотя бы по тому , что ежегодно здесь , в лечебно-профилактическом учреждении военного ведомства , оздоравливается почти 5 тысяч пациентов , которым создаются прекрасные условия для лечения",учреждении - ведомства,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: учреждение,arg1: gen: ведомство,--,,,,,
,,,,,,,,,,,,,,
мнение - что,мнение,"— Существует мнение , что вы лично оцениваете состояние дорог : проехали , заметили недочеты , приняли меры",мнение - что,['HEAD'],['CONJ'],HEAD,HEAD: мнение,--,--,adj1: CONJ: что,,,,
,,,,,,,,,,,,,,
состояние - дорог,состояние,"— Существует мнение , что вы лично оцениваете состояние дорог : проехали , заметили недочеты , приняли меры",состояние - дорог,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: состояние,arg1: gen: дорога,--,,,,,
,,,,,,,,,,,,,,
его - дальнейшее - смещение - на север,смещение,В ближайшие сутки ожидается его дальнейшее смещение на север,его - смещение - на север,"['poss', 'HEAD']",['на+acc'],arg1-HEAD,HEAD: смещение,arg1: poss: его,--,adj1: на+acc: север,,,,
,,,,,,,,,,,,,,
№6465 - сообщением - Владивосток - отправлением - в 20,сообщение,"№6465 сообщением "" Владивосток – Партизанск "" отправлением со ст . Владивосток в 20 : 00",сообщением - Владивосток - отправлением - в 20,"['HEAD', 'ins']","['nom', 'в+NUMB,intg']",HEAD-arg1,HEAD: сообщение,arg1: nom: владивосток,--,adj1: ins: отправление,"adj2: в+NUMB,intg: 20",,,
,,,,,,,,,,,,,,
отправлением - со ст,отправление,"№6465 сообщением "" Владивосток – Партизанск "" отправлением со ст . Владивосток в 20 : 00",отправлением - со ст,['HEAD'],['со+ins'],HEAD,HEAD: отправление,--,--,adj1: со+ins: статья,,,,
,,,,,,,,,,,,,,
№6465 - сообщением - Владивосток - отправлением - в 20,сообщение,"№6465 сообщением "" Владивосток – Партизанск "" отправлением со ст . Владивосток в 20 : 00 , Как следствие спешки произошло ЧП : один из исследователей неловко оперся о стеллаж и уронил на поверхность планеты все оборудование",сообщением - Владивосток - отправлением - в 20,"['HEAD', 'ins']","['nom', 'в+NUMB,intg']",HEAD-arg1,HEAD: сообщение,arg1: nom: владивосток,--,adj1: ins: отправление,"adj2: в+NUMB,intg: 20",,,
,,,,,,,,,,,,,,
отправлением - со ст,отправление,"№6465 сообщением "" Владивосток – Партизанск "" отправлением со ст . Владивосток в 20 : 00 , Как следствие спешки произошло ЧП : один из исследователей неловко оперся о стеллаж и уронил на поверхность планеты все оборудование",отправлением - со ст,['HEAD'],['со+ins'],HEAD,HEAD: отправление,--,--,adj1: со+ins: статья,,,,
,,,,,,,,,,,,,,
подавлении - мятежа,подавление,"Напомним , что с 1986 по 1988 год генерал Евневич служил в Афганистане , командовал десантно-штурмовой бригадой , а в 1993-м участвовал в подавлении мятежа у здания Верховного Совета РФ , за что и получил звание Героя России",подавлении - мятежа,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: подавление,arg1: gen: мятеж,--,,,,,
,,,,,,,,,,,,,,
здания - Совета,здание,"Напомним , что с 1986 по 1988 год генерал Евневич служил в Афганистане , командовал десантно-штурмовой бригадой , а в 1993-м участвовал в подавлении мятежа у здания Верховного Совета РФ , за что и получил звание Героя России",здания - Совета,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: здание,arg1: gen: совет,--,,,,,
,,,,,,,,,,,,,,
звание - Героя,звание,"Напомним , что с 1986 по 1988 год генерал Евневич служил в Афганистане , командовал десантно-штурмовой бригадой , а в 1993-м участвовал в подавлении мятежа у здания Верховного Совета РФ , за что и получил звание Героя России",звание - Героя,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: звание,arg1: gen: герой,--,,,,,
,,,,,,,,,,,,,,
управления - сбытовой,управление,"Сейчас профессиональные компании понимают , что принципы управления любой сбытовой структурой одинаковы , будь то Интернет или торговля по каталогам",управления - сбытовой,"['HEAD', 'ins']",[],HEAD-arg1,HEAD: управление,arg1: ins: сбытовая,--,,,,,
,,,,,,,,,,,,,,
создания - предприятий,создание,"— Наша задача — проработать контакты на далекую перспективу — вплоть до создания совместных предприятий , привлечения тех технологических и конструкторских наработок , которые у вас применяются издавна , — отметил он",создания - предприятий,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: создание,arg1: gen: предприятие,--,,,,,
,,,,,,,,,,,,,,
совместных - предприятий - привлечения,предприятие,"— Наша задача — проработать контакты на далекую перспективу — вплоть до создания совместных предприятий , привлечения тех технологических и конструкторских наработок , которые у вас применяются издавна , — отметил он",предприятий - привлечения,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: предприятие,arg1: gen: привлечение,--,,,,,
,,,,,,,,,,,,,,
привлечения - наработок,привлечение,"— Наша задача — проработать контакты на далекую перспективу — вплоть до создания совместных предприятий , привлечения тех технологических и конструкторских наработок , которые у вас применяются издавна , — отметил он",привлечения - наработок,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: привлечение,arg1: gen: наработка,--,,,,,
,,,,,,,,,,,,,,
присвоение - звания,присвоение,"По итогам 2010 года кандидатура 17-летней гимнастки выдвинута на присвоение звания "" Заслуженный мастер спорта """,присвоение - звания,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: присвоение,arg1: gen: звание,--,,,,,
,,,,,,,,,,,,,,
Нарушение - требований,нарушение,"Федеральным законом глава 6 Кодекса Российской Федерации об административных правонарушениях дополнена статьей 6 . 18 "" Нарушение установленных законодательством о физической культуре и спорте требований о предотвращении допинга в спорте и борьбе с ним "" , а также внесены изменения в статью 3 . 11 "" Дисквалификация "" и процессуальные нормы статей 23 . 1 , 28 . 3 и 28 . 7 Кодекса , уточняющие основания и порядок применения к субъектам правонарушений в данной сфере наказания в виде дисквалификации",Нарушение - требований,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: нарушение,arg1: gen: требование,--,,,,,
,,,,,,,,,,,,,,
установленных - требований - о предотвращении,требование,"Федеральным законом глава 6 Кодекса Российской Федерации об административных правонарушениях дополнена статьей 6 . 18 "" Нарушение установленных законодательством о физической культуре и спорте требований о предотвращении допинга в спорте и борьбе с ним "" , а также внесены изменения в статью 3 . 11 "" Дисквалификация "" и процессуальные нормы статей 23 . 1 , 28 . 3 и 28 . 7 Кодекса , уточняющие основания и порядок применения к субъектам правонарушений в данной сфере наказания в виде дисквалификации",требований - о предотвращении,['HEAD'],['о+loc'],HEAD,HEAD: требование,--,--,adj1: о+loc: предотвращение,,,,
,,,,,,,,,,,,,,
предотвращении - допинга,предотвращение,"Федеральным законом глава 6 Кодекса Российской Федерации об административных правонарушениях дополнена статьей 6 . 18 "" Нарушение установленных законодательством о физической культуре и спорте требований о предотвращении допинга в спорте и борьбе с ним "" , а также внесены изменения в статью 3 . 11 "" Дисквалификация "" и процессуальные нормы статей 23 . 1 , 28 . 3 и 28 . 7 Кодекса , уточняющие основания и порядок применения к субъектам правонарушений в данной сфере наказания в виде дисквалификации",предотвращении - допинга,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: предотвращение,arg1: gen: допинг,--,,,,,
,,,,,,,,,,,,,,
изменения - в статью,изменение,"Федеральным законом глава 6 Кодекса Российской Федерации об административных правонарушениях дополнена статьей 6 . 18 "" Нарушение установленных законодательством о физической культуре и спорте требований о предотвращении допинга в спорте и борьбе с ним "" , а также внесены изменения в статью 3 . 11 "" Дисквалификация "" и процессуальные нормы статей 23 . 1 , 28 . 3 и 28 . 7 Кодекса , уточняющие основания и порядок применения к субъектам правонарушений в данной сфере наказания в виде дисквалификации",изменения - в статью,['HEAD'],['в+acc'],HEAD,HEAD: изменение,--,--,adj1: в+acc: статья,,,,
,,,,,,,,,,,,,,
основания - и,основание,"Федеральным законом глава 6 Кодекса Российской Федерации об административных правонарушениях дополнена статьей 6 . 18 "" Нарушение установленных законодательством о физической культуре и спорте требований о предотвращении допинга в спорте и борьбе с ним "" , а также внесены изменения в статью 3 . 11 "" Дисквалификация "" и процессуальные нормы статей 23 . 1 , 28 . 3 и 28 . 7 Кодекса , уточняющие основания и порядок применения к субъектам правонарушений в данной сфере наказания в виде дисквалификации",основания - и,['HEAD'],['CONJ'],HEAD,HEAD: основание,--,--,adj1: CONJ: и,,,,
,,,,,,,,,,,,,,
применения - к субъектам,применение,"Федеральным законом глава 6 Кодекса Российской Федерации об административных правонарушениях дополнена статьей 6 . 18 "" Нарушение установленных законодательством о физической культуре и спорте требований о предотвращении допинга в спорте и борьбе с ним "" , а также внесены изменения в статью 3 . 11 "" Дисквалификация "" и процессуальные нормы статей 23 . 1 , 28 . 3 и 28 . 7 Кодекса , уточняющие основания и порядок применения к субъектам правонарушений в данной сфере наказания в виде дисквалификации",применения - к субъектам,['HEAD'],['к+dat'],HEAD,HEAD: применение,--,--,adj1: к+dat: субъект,,,,
,,,,,,,,,,,,,,
наказания - в виде,наказание,"Федеральным законом глава 6 Кодекса Российской Федерации об административных правонарушениях дополнена статьей 6 . 18 "" Нарушение установленных законодательством о физической культуре и спорте требований о предотвращении допинга в спорте и борьбе с ним "" , а также внесены изменения в статью 3 . 11 "" Дисквалификация "" и процессуальные нормы статей 23 . 1 , 28 . 3 и 28 . 7 Кодекса , уточняющие основания и порядок применения к субъектам правонарушений в данной сфере наказания в виде дисквалификации",наказания - в виде,['HEAD'],['в+loc'],HEAD,HEAD: наказание,--,--,adj1: в+loc: вид,,,,
,,,,,,,,,,,,,,
увеличения - задолженности,увеличение,"– Вообще это ненормальная ситуация , когда рост объемов кредитования идет на фоне увеличения просроченной задолженности , – делится мнением Александр Осин",увеличения - задолженности,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: увеличение,arg1: gen: задолженность,--,,,,,
,,,,,,,,,,,,,,
Опережающее - развитие - инфраструктуры,развитие,- Опережающее развитие инфраструктуры у нас пока остается благим пожеланием,развитие - инфраструктуры,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: развитие,arg1: gen: инфраструктура,--,,,,,
,,,,,,,,,,,,,,
повторение - ошибок,повторение,"Россия не имеет права на повторение ошибок , которые не раз совершались в переломные моменты ее Истории "" , — говорится в заявлении , размещенном на сайте совета",повторение - ошибок,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: повторение,arg1: gen: ошибка,--,,,,,
,,,,,,,,,,,,,,
заявлении - размещенном,заявление,"Россия не имеет права на повторение ошибок , которые не раз совершались в переломные моменты ее Истории "" , — говорится в заявлении , размещенном на сайте совета",заявлении - размещенном,['HEAD'],['loc'],HEAD,HEAD: заявление,--,--,adj1: loc: разместить,,,,
,,,,,,,,,,,,,,
это - направление - попало,направление,Как это направление попало в поле ваших интересов,направление - попало,['HEAD'],"['VERB,perf,intr neut,sing,past,indc']",HEAD,HEAD: направление,--,--,"adj1: VERB,perf,intr neut,sing,past,indc: попасть",,,,
,,,,,,,,,,,,,,
здания - расположенного,здание,"Тогда предположили , что нападение было совершено из окна здания расположенного напротив вольера медведя",здания - расположенного,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: здание,arg1: gen: расположить,--,,,,,
,,,,,,,,,,,,,,
санаторно-курортным - лечением - руководителей,лечение,"Банкротный завод обеспечивал санаторно-курортным лечением этих руководителей и членов их семей с полной оплатой проезда уровня "" бизнес """,лечением - руководителей,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: лечение,arg1: gen: руководитель,--,,,,,
,,,,,,,,,,,,,,
увеличении - стоимости,увеличение,"Если мы не хотим , чтобы это сказалось на увеличении стоимости рыбы и ли на падении продаж ее за рубеж , то правительство должно заблаговременно оказать нам помощь в приобретении такого оборудования",увеличении - стоимости,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: увеличение,arg1: gen: стоимость,--,,,,,
,,,,,,,,,,,,,,
падении - продаж,падение,"Если мы не хотим , чтобы это сказалось на увеличении стоимости рыбы и ли на падении продаж ее за рубеж , то правительство должно заблаговременно оказать нам помощь в приобретении такого оборудования",падении - продаж,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: падение,arg1: gen: продажа,--,,,,,
